subject
Gestión y configuración de la arquitectura de los sistemas de información
Gestión y gobierno de las TI
Hacking ético
Herramientas para la Comunicación Digital
Inferencia Estadística
Informática Gráfica
Infraestructura Informática para Centros de Datos
Infraestructura para el procesamiento de datos
Ingeniería del software
Instrumentación Industrial y Sensores
Integración curvilínea y de superficie
Integración de aplicaciones
Integración e interoperabilidad
Integral múltiple
Interfaces Humano-Máquina
Interfaces persona computador
Internet de las Cosas
Introducción a la Administración de Empresas
Introducción a la Contabilidad
Introducción a la IA
Introducción a la informática y a la programación
Introducción a la Programación
Introducción a las Finanzas
Introducción a los sistemas gráficos interactivos
Investigación Comercial
Investigación Operativa
Italiano académico y profesional A1
Italiano académico y profesional A2
Lenguaje natural y recuperación de la información
Lenguajes de programación y procesadores de lenguajes
"Lenguajes, tecnologías y paradigmas de la programación"
Logística Industrial y Optimización
Macroeconomía I
Macroeconomía II
Mantenimiento y evolución de software
Marco Legal de la Empresa
"Marco profesional, legal y deontológico"
Matemática discreta
Matemática Discreta
Matemáticas Financieras
Matemáticas I
Mecánica de fluidos
Métodos Avanzados de Aprendizaje Automático para Robótica
Métodos cuantitativos para la ayuda a la toma de decisiones
Métodos Estadísticos en Economía
Métodos formales industriales
Microeconomía I
Microeconomía II
Modelado discreto y teoría de la información
Modelado y Control de Robots
Modelado y simulación continuos
Modelización
Modelos de negocio y áreas funcionales de la organización
Modelos de regresión
Modelos descriptivos y predictivos I
Modelos descriptivos y predictivos II
Modelos estadísticos para la toma de decisiones I
Modelos estadísticos para la toma de decisiones II
Modelos Matemáticos para ADE I
Modelos Matemáticos para ADE II
Modelos Predictivos y de Clasificación
Optimización
Organización y Gestión de Empresas
Percepción
Planificación y dirección de proyectos de TI
Principios de Computadores
Proceso de software
Programación
Programación Avanzada
Programación de Robots
Programación de Sistemas Distribuidos
Proyecto de ingeniería de software
"Proyecto I, comprensión de datos"
"Proyecto III, análisis de datos"
"Proyecto II, integración y preparación de datos"
Proyecto RII 3: Robots Inteligentes
Quantum computing
Química
Redes corporativas
Redes de computadores
Redes Industriales
Redes y seguridad
Representación del conocimiento y razonamiento
Resolución numérica de ecuaciones en derivadas parciales
Resolución numérica de sistemas lineales y no lineales
Robótica Blanda
Robótica Industrial y de Servicios
Robótica Médica y Asistencial
Robótica Móvil
Seguridad de las cosas
Seguridad de los datos
Seguridad web
Sistemas Aéreos no Tripulados
Sistemas automáticos
Sistemas basados en Deep Learning para la Industria
Sistemas de almacenamiento y recuperación de información
Sistemas de información estratégicos
Sistemas de Producción y Fabricación
Sistemas de Tiempo Real
Sistemas Empotrados
Sistemas empotrados y ubicuos
Sistemas integrados de información en las organizaciones
Sistemas inteligentes
Sistemas Inteligentes
Sistemas Operativos
Social web behaviour & network analysis
Técnicas algorítmicas para datos masivos
Técnicas de optimización
"Técnicas, entornos y aplicaciones de inteligencia artificial"
Técnicas escalables en aprendizaje automático
Tecnología de bases de datos
Tecnología de Circuitos
Tecnología de computadores
Tecnología de sistemas de información en la red
Tecnologías avanzadas para redes corporativas y Datacenters
Teoría de autómatas y lenguajes formales
Teoría de circuitos
Teoría de máquinas
Termodinámica
Topología Algebraica
Topología General
Valencià per a l'Administració - C1
Valencià per a l'Administració - C2
Valencià tècnic - C1
Valencià tècnic - C2
Variable Compleja
Visión 3D
Visión por Computador
Visualización
